Parikinson's Disease GWAS					
Reported Trait	Trait(s)	Variant and risk allele	Study accession	Mapped gene	P-Value
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr21:46916033-?	GCST004138	-	"	8 x 10^-240"
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr3:64699445-?	GCST004138	-	6 x 10^-44
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr12:27737074-?	GCST004138	-	1 x 10^-33
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr16:29348809-?	GCST004138	-	4 x 10^-28
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr16:79360135-?	GCST004138	-	3 x 10^-27
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr8:135611154-?	GCST004138	-	3 x 10^-96
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr19:22620820-?	GCST004138	-	6 x 10^-25
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr7:111916329-?	GCST004138	-	"	2 x 10^-16"
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr5:108436958-?	GCST004138	-	4 x 10^-133
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr5:120977240-?	GCST004138	-	3 x 10^-46
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr9:111929013-?	GCST004138	-	2 x 10^-31
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr1:164546863-?	GCST004138	-	1 x 10^-10
"	Early-onset Parkinson's disease"	Young adult-onset Parkinsonism	chr9:135955826-?	GCST004138	-	1 x 10^-14
Parkinson's disease (motor and cognition)	Parkinson's disease	rs10958605-?	GCST001546	"SIRLNT, AC022733.1"	2 x 10^-6
Parkinson's disease (motor and cognition)	Parkinson's disease	rs959573-?	GCST001546	"MARCHF3, LMNB1"	5 x 10^-6
Parkinson's disease (motor and cognition)	Parkinson's disease	rs6482992-?	GCST001546	CLRN3	4 x 10^-6
Parkinson's disease (motor and cognition)	Parkinson's disease	rs17000647-?	GCST001546	"	ODAPH"	5 x 10^-6
Parkinson's disease (motor and cognition)	Parkinson's disease	rs3027247-?	GCST001546	CTC1	9 x 10^-6
Parkinson's disease	Parkinson's disease	kgp7172368-?	GCST003984	-	1 x 10^-6
Parkinson's disease	Parkinson's disease	kgp8130520-?	GCST003984	-	1 x 10^-6
Parkinson's disease	Parkinson's disease	kgp348599-?	GCST003984	-	1 x 10^-6
Parkinson's disease	Parkinson's disease	rs28903073-?	GCST003984	LRRK2	1 x 10^-39
Parkinson's disease	Parkinson's disease	rs144847051-?	GCST003984	"SYT10, AC087311.2"	4 x 10^-21
Parkinson's disease	Parkinson's disease	rs17425622-?	GCST003984	"HLA-DRB1, HLA-DQA1"	4 x 10^-17
Parkinson's disease	Parkinson's disease	rs2230288-?	GCST003984	GBA	5 x 10^-17
Parkinson's disease	Parkinson's disease	rs13016703-?	GCST003984	"	RN7SL813P, STK39"	3 x 10^-16
Parkinson's disease	Parkinson's disease	rs35541465-?	GCST003984	GAK	3 x 10^-15
Parkinson's disease	Parkinson's disease	rs11158026-?	GCST003984	GCH1	"	9 x 10^-15"
Parkinson's disease	Parkinson's disease	rs9858038-?	GCST003984	"MCCC1, DCUN1D1"	3 x 10^-14
Parkinson's disease	Parkinson's disease	rs10256359-?	GCST003984	"KLHL7-DT, FAM126A"	2 x 10^-12
Parkinson's disease	Parkinson's disease	rs823118-?	GCST003984	"RAB29, NUCKS1"	"	6 x 10^-12"
Parkinson's disease	Parkinson's disease	rs188789342-?	GCST003984	"RAD1P1, TIAL1"	3 x 10^-11
Parkinson's disease	Parkinson's disease	rs6812193-?	GCST003984	"	FAM47E-STBD1, AC034139.1, FAM47E"	7 x 10^-11
Parkinson's disease	Parkinson's disease	rs4266290-?	GCST003984	BST1	8 x 10^-11
Parkinson's disease	Parkinson's disease	rs4130047-?	GCST003984	"RIT2	"	2 x 10^-10
Parkinson's disease	Parkinson's disease	rs4713118-?	GCST003984	"	AL009179.1"	2 x 10^-10
Parkinson's disease	Parkinson's disease	rs11060180-?	GCST003984	CCDC62	3 x 10^-10
Parkinson's disease	Parkinson's disease	rs687432-?	GCST003984	"OR5BD1P, OR5AZ1P"	2 x 10^-9
Parkinson's disease	Parkinson's disease	rs148294058-?	GCST003984	LINC02451	5 x 10^-9
Parkinson's disease	Parkinson's disease	rs2209440-?	GCST003984	SH3GL2	8 x 10^-9
Parkinson's disease	Parkinson's disease	rs11343-?	GCST003984	SYT17	1 x 10^-8
Parkinson's disease	Parkinson's disease	rs162227-?	GCST003984	NDUFAF2	1 x 10^-8
Parkinson's disease	Parkinson's disease	rs144074972-?	GCST003984	"	CA8"	6 x 10^-8
Parkinson's disease	Parkinson's disease	rs601999-?	GCST003984	AC067852.1	7 x 10^-8
Parkinson's disease	Parkinson's disease	rs356182-?	GCST003984	"	AC093866.1, SNCA"	1 x 10^-56
Parkinson's disease	Parkinson's disease	rs365825-?	GCST003984	"	LINC02210-CRHR1, LINC02210"	4 x 10^-32
